Gender, First Name, Last Name, Birthday, Address, City, ST, Zip, Credit Card, Balance
male, Ned, White, 11/19/1971, 1608 Java Lane, Orangeburg , SC, 29115, Visa, 3641.70
female, Geraldine, Acosta, 9/8/1942, 4233 Shingleton Road, Grand Rapids , MI, 49508, MasterCard, 4896.76
female, Gisela, Duggan, 7/19/1947, 3804 Pine Street, Pittsburgh , PA, 15201, Visa, 16334.94
female, Rachel, Douglas, 2/22/1945, 1549 Garfield Road, Peoria , IL, 61602, Visa, 3126.37
male, Matthew, Sherman, 7/5/1971, 4091 Millbrook Road, Warrenville , IL, 60555, Discover, 4195.85
male, Billy, Miller, 3/26/1960, 499 Spirit Drive, Port Orange , FL, 32019, MasterCard, 0.00
male, James, Campbell, 4/15/1951, 4114 Meadowview Drive, Roanoke , VA, 24019, MasterCard, 0.00
female, Helen, Schaper, 7/17/1957, 2274 Kessla Way, North Charleston , SC, 29405, MasterCard, 2210.20
female, Sadie, Lewin, 10/17/1959, 3018 Garrett Street, Newark , PA, 19714, Visa, 4353.66
female, Margaret, Adams, 11/28/1955, 4093 Aaron Smith Drive, York , PA, 17401, Discover, 4006.85
female, Claretta, Gowan, 2/4/1946, 130 Kovar Road, Medway , MA, 02053, MasterCard, 10323.38
male, Wayne, Poulsen, 7/2/1970, 2027 Byrd Lane, Ruidoso , NM, 88345, Visa, 10917.67
male, Tyrone, Koenig, 6/15/1960, 1281 Colonial Drive, Garwood , TX, 77442, MasterCard, 4626.81
male, Travis, Johnston, 6/5/1978, 2070 University Drive, Chicago , IL, 60606, MasterCard, 7326.18
male, William, Ramsey, 2/23/1970, 3103 Snider Street, Denver , CO, 80205, Visa, 7629.95
female, Sharon, Miller, 10/31/1981, 3490 Romrog Way, Grand Island , NE, 68801, MasterCard, 3256.13
female, Celeste, Collier, 8/5/1940, 3449 Oak Way, Hastings , NE, 68901, Discover, 5067.66
male, Joseph, Pritchard, 3/2/1977, 3113 Rollins Road, Edison , NE, 68936, Visa, 15887.67
male, Stephen, Steiger, 9/11/1969, 1831 Custer Street, Altoona , PA, 16601, Discover, 0.00
female, Debbie, Reed, 6/23/1952, 602 Glendale Avenue, Reseda , CA, 91335, Visa, 0.00
male, Brandon, Brown, 12/16/1979, 865 Birch Street, Indianapolis , IN, 46229, Discover, 5148.47
male, Calvin, Handy, 11/21/1962, 4138 Sunburst Drive, Fort Myers , FL, 33905, Discover, 0.00
male, David, Guyton, 6/11/1971, 2119 Heron Way, Portland , OR, 97205, MasterCard, 9427.00
female, Brittany, Ramsey, 5/26/1978, 1367 Renwick Drive, Newark , PA, 19714, MasterCard, 17797.79
male, Wendell, Daniels, 5/13/1978, 4755 Eastland Avenue, Laurel , MS, 39440, MasterCard, 0.00
male, Cecil, Levy, 10/27/1980, 1593 High Meadow Lane, Harrisburg , PA, 17109, Visa, 16277.84
female, Amy, Niebuhr, 5/21/1953, 1887 Briarwood Road, Marshfield , MO, 65706, Visa, 0.00
female, Jennifer, Stoudt, 4/9/1958, 4844 West Street, Grand Rapids , MI, 49503, MasterCard, 7120.57
female, Daisy, Gagnon, 7/13/1943, 1882 Twin Oaks Drive, Boyne Falls , MI, 49713, MasterCard, 4749.50
female, Dorothy, Mertz, 2/5/1940, 2624 Birch Street, Noblesville , IN, 46060, MasterCard, 5854.21
male, Anthony, Gordon, 6/25/1955, 1032 Rosebud Avenue, Midway , AR, 72651, MasterCard, 8153.08
female, Josphine, Edwards, 1/17/1983, 1489 Clement Street, Atlanta , GA, 30329, MasterCard, 0.00
female, Elizabeth, Robles, 1/24/1962, 164 Water Street, San Francisco , CA, 94107, Visa, 0.00
female, Melissa, Cypert, 11/14/1953, 4739 Lauren Drive, Richland Center , WI, 53581, MasterCard, 5788.54
male, Aaron, Rich, 9/18/1941, 244 Ethels Lane, Fort Myers , FL, 33901, Visa, 4661.93
male, Michael, Smith, 6/22/1977, 1926 Carson Street, Lexington , KY, 40505, Visa, 3714.83
male, Joshua, Kohler, 6/5/1975, 4056 Windy Ridge Road, Fort Wayne , IN, 46818, Discover, 0.00
male, Clay, Goodwin, 1/18/1945, 883 Indiana Avenue, Honolulu , HI, 96814, Visa, 0.00
female, Kathy, Mclean, 3/18/1969, 4795 Jadewood Farms, Newark , NJ, 07105, Visa, 19234.71
male, Isaac, Hailey, 11/8/1981, 699 Sunburst Drive, Fort Myers , FL, 33901, MasterCard, 9821.94
male, Russell, Ruby, 7/14/1972, 1932 Lauren Drive, Beloit , WI, 53511, MasterCard, 8986.80
female, Barbara, Shelton, 12/18/1967, 469 Rocky Road, Philadelphia , PA, 19107, MasterCard, 8050.22
male, Cliff, Torpey, 10/17/1943, 3737 Fantages Way, American Falls , ID, 83211, MasterCard, 13763.71
female, Paula, Collins, 12/15/1973, 4557 Randolph Street, Bridgewater , MA, 02324, MasterCard, 6782.23
male, James, May, 1/13/1972, 4122 Westfall Avenue, Albuquerque , NM, 87102, Visa, 14935.56
female, Tammie, Baltzell, 3/12/1960, 4198 Doe Meadow Drive, Suitland , MD, 20746, Discover, 5566.59
male, Henry, Dew, 10/12/1955, 3431 Franklin Avenue, Port Orange , FL, 32129, MasterCard, 7984.84
female, Carrie, Truluck, 3/2/1958, 655 Bedford Street, Stamford , CT, 06902, Visa, 5657.37
male, Daniel, Brown, 5/23/1969, 3821 Bartlett Avenue, Troy , MI, 48083, MasterCard, 4151.76
male, Daniel, Rude, 10/28/1978, 4845 Duffy Street, Portage , IN, 46368, MasterCard, 2314.01
female, Brittany, Sanders, 1/26/1953, 248 Snowbird Lane, Omaha , NE, 68114, Discover, 4035.80
male, Kenny, Martin, 1/20/1973, 468 Boundary Street, Jacksonville , FL, 32218, Discover, 4551.10
male, Mohammad, Collazo, 11/2/1985, 1377 Morgan Street, Greensboro , FL, 32330, Visa, 12104.08
male, Robert, Patterson, 5/23/1962, 2121 Rocket Drive, Minneapolis , MN, 55418, MasterCard, 1542.10
female, Tia, Valdivia, 2/19/1968, 4994 Argonne Street, Newark , DE, 19711, MasterCard, 10531.00
male, Rosario, Kimble, 6/18/1962, 3982 Michael Street, Houston , TX, 77021, MasterCard, 0.00
female, Chanelle, White, 6/21/1967, 1242 Wescam Court, Cambridge , MA, 02141, MasterCard, 6849.20
male, Matthew, Weber, 7/25/1963, 3803 Clement Street, Atlanta , GA, 30303, Discover, 4598.62
male, William, Giles, 7/26/1974, 3367 Adams Drive, Houston , TX, 77099, Discover, 1369.86
female, Maureen, Price, 2/23/1967, 4788 Blackwell Street, Fairbanks , AK, 99701, Visa, 0.00
female, Melissa, Rey, 7/20/1976, 876 Cityview Drive, West Chester , PA, 19382, MasterCard, 3048.15
female, Helena, Provencher, 6/16/1956, 2537 Jones Avenue, Winston Salem , NC, 27101, MasterCard, 0.00
male, Eric, Moorhouse, 11/3/1958, 3901 Alfred Drive, Forest Hills , NY, 11375, Visa, 2698.81
male, John, Gabriel, 2/10/1952, 2718 Pretty View Lane, Sonoma , CA, 95476, Visa, 2884.66
male, Lawrence, Bell, 6/10/1973, 95 Old Dear Lane, Peekskill , NY, 10566, Discover, 0.00
female, Mary, Sechrist, 10/28/1945, 2191 Courtright Street, Dickinson , ND, 58601, Discover, 2520.89
male, Norman, Edens, 8/4/1943, 1759 Roosevelt Street, San Francisco , CA, 94108, MasterCard, 0.00
male, Edward, Cumberbatch, 5/15/1940, 1854 West Drive, Chicago , IL, 60605, MasterCard, 1682.25
male, Daniel, Mcgee, 10/17/1980, 3241 Pinewood Avenue, Marquette , MI, 49855, MasterCard, 7136.76
female, Callie, Woodson, 6/22/1980, 2015 Black Oak Hollow Road, Milpitas , CA, 95035, Discover, 5599.87
male, Anthony, Browning, 3/28/1962, 3304 Golden Street, Miami , FL, 33179, MasterCard, 5825.58
female, Jessie, Pugliese, 5/22/1985, 240 Elk Creek Road, Jonesboro , GA, 30236, Visa, 11660.55
male, Darrel, Bollinger, 5/28/1971, 4597 Colony Street, Stamford , CT, 06901, Visa, 8005.00
male, Chris, Mccoy, 2/15/1978, 4237 Stonecoal Road, Grover Hill , OH, 45849, Visa, 0.00
male, Jimmy, Johnson, 9/28/1956, 3044 Ben Street, Plattsburgh , NY, 12901, MasterCard, 1371.85
male, Elvin, Fenster, 7/3/1976, 4303 Broadway Avenue, Knoxville , TN, 37917, MasterCard, 0.00
male, Roger, Warren, 4/23/1967, 1049 Villa Drive, Syracuse , IN, 46567, Discover, 0.00
male, Gilbert, Davis, 11/28/1962, 492 Bird Spring Lane, Alvin , TX, 77511, Visa, 8306.20
female, May, Richey, 1/24/1976, 1049 Shobe Lane, Denver , CO, 80203, MasterCard, 5969.36
female, Novella, Owens, 5/11/1942, 2517 Monroe Avenue, Palmetto , FL, 34221, Visa, 6690.21
male, Ralph, Baumgardner, 6/12/1974, 4053 Rogers Street, Cincinnati , OH, 45229, MasterCard, 4610.87
male, John, Booth, 7/28/1969, 3164 White Pine Lane, Luray , VA, 22835, MasterCard, 9296.71
male, Philip, Black, 11/24/1968, 3387 Harron Drive, Linthicum Heights , MD, 21090, Visa, 0.00
female, Donna, Snyder, 8/30/1967, 89 Nash Street, Chicago , IL, 60605, Visa, 0.00
male, James, Clark, 6/11/1940, 2323 Locust Court, Anaheim , CA, 92805, Visa, 10218.50
female, Melissa, Brock, 12/10/1972, 391 Station Street, Lockhart , TX, 52698, Visa, 12643.81
female, Jane, Barlow, 11/15/1977, 635 Leverton Cove Road, South Deerfield , MA, 01373, MasterCard, 6945.33
female, Christa, Harlow, 8/6/1950, 4603 Lynn Avenue, Green Bay , WI, 54301, Discover, 7692.05
female, Amanda, Taylor, 12/25/1985, 4389 Briercliff Road, Elmhurst , NY, 11373, MasterCard, 7022.12
female, Terry, Nolan, 12/2/1957, 3835 Monroe Street, Sugar Land , TX, 77478, Discover, 3061.75
female, Lynn, Muller, 4/22/1962, 665 Vesta Drive, Hickory Hills , IL, 60457, MasterCard, 11574.77
female, Wanda, Kuehner, 5/30/1942, 1433 Ingram Road, Greensboro , NC, 27406, Visa, 21042.04
male, Walter, Pulliam, 3/6/1981, 1417 Harron Drive, Hanover , MD, 21076, MasterCard, 0.00
female, Amy, Love, 9/23/1983, 3662 August Lane, Shreveport , LA, 71101, Visa, 9598.40
female, Karen, Brown, 9/28/1968, 1803 Main Street, Seattle , WA, 98101, MasterCard, 6181.03
female, Karla, Meeks, 8/12/1970, 1115 Wexford Way, Rock Hill , SC, 29730, MasterCard, 8992.39
male, Abdul, Berry, 7/12/1970, 847 Broadway Street, Charleston , SC, 29405, MasterCard, 3466.70
female, Martha, Vega, 10/31/1968, 4191 Woodridge Lane, Memphis , TN, 38118, Visa, 12138.12
male, Eric, Stebbins, 1/27/1955, 2776 Hidden Pond Road, Nashville , TN, 37201, Discover, 3243.28
female, Nancy, Samples, 8/15/1980, 3028 Maxwell Farm Road, Fredericksburg , VA, 22401, Discover, 3724.39
female, Angela, Reynolds, 3/26/1953, 189 Collins Street, Tampa , FL, 33619, Discover, 8577.69
female, Irma, Enright, 11/26/1985, 2333 Ashwood Drive, Ayrshire , IA, 50515, Visa, 18946.32
female, Ann, Tirado, 7/27/1940, 1210 Brighton Circle Road, Osseo , MN, 55369, Discover, 4476.20
female, Frances, Marquez, 1/12/1945, 3548 Tuna Street, Southfield , MI, 48075, MasterCard, 9538.58
male, James, Montoya, 2/1/1946, 1034 Elliott Street, Manchester , NH, 03103, MasterCard, 2433.30
female, Joan, Trevino, 6/16/1941, 1782 Lowes Alley, Columbus , OH, 43201, MasterCard, 0.00
male, Richard, Monsen, 12/31/1977, 120 Emily Drive, West Columbia , SC, 29169, Visa, 5437.87
male, James, Mccleary, 9/16/1942, 3268 Wolf Pen Road, Mountain View , CA, 94041, MasterCard, 4746.95
male, Lee, Shanklin, 7/19/1961, 3102 Clay Street, Indianapolis , IN, 46204, MasterCard, 0.00
female, Ann, Taylor, 4/4/1966, 2061 Crummit Lane, Exeter , NE, 68351, Discover, 4973.97
male, Leon, Calhoun, 5/17/1973, 3302 Todds Lane, San Antonio , TX, 78205, Visa, 0.00
female, Olive, Ortega, 3/11/1980, 3771 Mcwhorter Road, Amory , MS, 38821, MasterCard, 13484.22
male, Richard, Foreman, 12/3/1948, 2677 Little Acres Lane, Duluth , MN, 55802, MasterCard, 14356.54
female, Gladys, Taylor, 11/21/1949, 4534 Payne Street, Houston , TX, 77042, Visa, 0.00
male, Charles, Zuniga, 6/23/1950, 967 Foley Street, Jupiter , FL, 33478, Visa, 5123.85
female, Lourdes, Mayers, 12/30/1975, 1850 American Drive, Greenville , FL, 32331, Visa, 10840.89
male, Ruben, Andrews, 9/12/1950, 1300 Griffin Street, Phoenix , AZ, 85034, Discover, 3992.57
male, John, Olson, 5/1/1959, 1236 Geraldine Lane, New York , NY, 10005, Discover, 0.00
male, Shannon, Edwards, 9/8/1984, 2207 Berkley Street, Philadelphia , PA, 19108, MasterCard, 6311.92
male, Christopher, Warren, 6/14/1980, 2464 Lakeland Terrace, Southfield , MI, 48075, MasterCard, 2051.57
female, Jane, Stanton, 3/6/1965, 3298 Kidd Avenue, Fairbanks , AK, 99701, Visa, 9816.52
male, Jesus, Bellino, 6/7/1945, 4978 Cinnamon Lane, San Antonio , TX, 78258, Discover, 1761.50
male, Harvey, Johnson, 3/7/1981, 2074 James Street, Honeoye Falls , NY, 14472, Visa, 8798.73
male, Alberto, Murray, 11/2/1947, 4656 Griffin Street, Phoenix , AZ, 85003, Visa, 4651.71
female, Roxanne, Mazur, 9/15/1954, 402 Felosa Drive, Los Angeles , CA, 90017, Discover, 0.00
female, Laura, Carr, 1/4/1982, 2655 Pyramid Valley Road, Des Moines , IA, 50309, Visa, 12734.14
male, Chung, Cuevas, 2/15/1962, 1560 Fort Street, Greenville , NC, 27834, Visa, 0.00
female, Shirley, Maxie, 1/20/1951, 3243 Huntz Lane, Boston , MA, 02110, Discover, 2947.94
female, Mildred, Sims, 11/30/1974, 3133 Simpson Square, Guymon , OK, 73942, Discover, 1988.47
female, Kelley, Hopper, 6/28/1957, 3704 Farland Street, Chicago , IL, 60631, Discover, 1071.22
male, David, Perry, 6/22/1952, 1307 Vernon Street, La Mesa , CA, 91941, MasterCard, 0.00
male, David, Hitt, 9/19/1963, 4088 Skinner Hollow Road, Roseburg , OR, 97470, Visa, 3261.88
female, Tara, Wood, 8/20/1952, 1388 Marion Drive, Tampa , FL, 33610, MasterCard, 1458.63
male, Merlin, Dey, 4/17/1943, 540 Hillcrest Drive, Tukwila , WA, 98168, Visa, 4479.36
male, John, Deegan, 9/10/1982, 1488 American Drive, Pensacola , FL, 32514, Visa, 19070.56
female, Laura, Deckard, 10/20/1943, 4886 Reeves Street, Lena , WI, 54139, MasterCard, 4713.76
female, Michele, Luke, 5/27/1962, 42 Norma Avenue, Dayton , OH, 45402, MasterCard, 9870.58
male, Jeremy, Cater, 12/10/1976, 794 Westwood Avenue, Lynbrook , NY, 11563, Discover, 4994.36
male, Joseph, Starr, 8/23/1977, 3285 Aaron Smith Drive, Harrisburg , PA, 17101, MasterCard, 7431.16
female, Lauren, Nunez, 2/8/1982, 2123 Anmoore Road, Queens , NY, 11101, Visa, 9179.66
male, Frank, Slifer, 2/16/1982, 4677 Simons Hollow Road, Auburn , PA, 17922, MasterCard, 4367.95
male, Mark, Cromer, 5/30/1955, 1468 Bloomfield Way, Augusta , ME, 04330, Visa, 18967.44
male, Buddy, Lujan, 12/2/1973, 4797 Quarry Drive, Enterprise , AL, 36330, MasterCard, 5861.34
female, Patricia, Waters, 1/31/1949, 722 Collins Avenue, New Albany , OH, 43054, Visa, 14973.07
male, Walter, Watson, 7/12/1955, 2541 Oakmound Drive, Chicago , IL, 60657, MasterCard, 13738.75
female, Tammy, Devore, 10/30/1951, 4142 Pine Tree Lane, Washington , MD, 20005, Visa, 0.00
female, Mary, Jones, 7/21/1963, 2937 Juniper Drive, Saint Charles , MI, 48655, MasterCard, 5652.04
female, Karen, Garcia, 11/11/1971, 2564 Diane Street, Thousand Oaks , CA, 91362, Visa, 4911.26
female, Tammy, Miller, 10/4/1972, 651 Cody Ridge Road, Enid , OK, 73701, MasterCard, 12186.87
male, Andrew, Buda, 11/1/1951, 1039 Abia Martin Drive, Farmingdale , NY, 11735, MasterCard, 12814.50
female, Beverly, Bryant, 11/26/1965, 3551 Blane Street, Saint Louis , MO, 63130, Discover, 0.00
female, Doris, Emanuel, 1/18/1965, 2946 Chandler Hollow Road, Coraopolis , PA, 15108, Visa, 9780.24
female, Esther, Miller, 6/26/1946, 4016 Willison Street, Saint Paul , MN, 55104, Visa, 4063.53
female, Bertha, Verner, 7/24/1973, 2954 Hummingbird Way, Charlestown , MA, 02129, MasterCard, 0.00
male, Alan, Levesque, 9/30/1940, 2363 Hart Street, New London , CT, 06320, Visa, 0.00
female, Lisa, Petersen, 4/13/1949, 4475 Deercove Drive, Philadelphia , PA, 19111, MasterCard, 0.00
male, Anthony, Ray, 9/10/1972, 2513 West Side Avenue, River Edge , NJ, 07649, MasterCard, 6942.20
female, Teresa, Beasley, 5/9/1940, 749 Hillview Drive, Sparta , GA, 31087, MasterCard, 11613.56
female, Brittany, Hill, 10/28/1962, 1927 Quincy Street, Plymouth Meeting , PA, 19462, MasterCard, 8210.85
female, Lisa, Stafford, 3/15/1945, 3505 Arbutus Drive, Miami , FL, 33012, MasterCard, 0.00
male, Martin, Dahl, 5/28/1951, 3895 Eva Pearl Street, Baton Rouge , LA, 70815, Discover, 3011.07
female, Diann, Perez, 10/2/1954, 3132 Karen Lane, Louisville , KY, 40299, Discover, 3740.74
female, Grace, Newton, 4/27/1973, 1668 Lowland Drive, Elwood , IL, 60421, MasterCard, 6545.00
male, Reggie, Bish, 3/16/1985, 587 Angie Drive, Westminster , CA, 92683, MasterCard, 8137.82
male, Jason, Dean, 3/27/1972, 874 Columbia Road, Philadelphia , DE, 19103, MasterCard, 3138.83
male, Robert, Cupp, 8/1/1982, 301 Skinner Hollow Road, Medford , OR, 97501, MasterCard, 4710.70
male, Jeffrey, Cheatham, 12/1/1958, 4561 Scheuvront Drive, Denver , CO, 80221, MasterCard, 2078.46
female, Keely, Symons, 10/13/1943, 1869 Illinois Avenue, Gresham , OR, 97030, Visa, 0.00
female, Kathleen, Stamps, 5/6/1958, 3917 Meadowbrook Mall Road, Gardena , CA, 90248, Discover, 2343.03
female, Diane, Langan, 8/27/1969, 2541 Northwest Boulevard, Rutherford , NJ, 07070, MasterCard, 9112.96
male, Donald, Vick, 11/29/1968, 1877 Tetrick Road, Bowling Green , FL, 33834, Visa, 0.00
male, Chance, Griner, 8/17/1957, 3808 Norman Street, Los Angeles , CA, 90014, MasterCard, 2570.67
male, Kerry, Mitchell, 10/8/1972, 2168 Junior Avenue, Roswell , GA, 30076, MasterCard, 5361.03
male, Robert, Kephart, 9/12/1982, 1126 Orphan Road, Appleton , WI, 54913, MasterCard, 0.00
female, Jeanette, Brouillard, 3/19/1979, 1753 Spruce Drive, Wexford , PA, 15090, MasterCard, 4831.55
male, James, Anthony, 12/9/1953, 1330 Glory Road, Cumberland City , TN, 37050, Discover, 7109.94
female, Kim, Hank, 5/29/1943, 560 Apple Lane, Bloomington , IL, 61701, MasterCard, 15698.03
female, Gail, Honda, 8/9/1951, 1398 Clover Drive, Colorado Springs , CO, 80903, Visa, 0.00
male, Del, Drake, 8/12/1952, 968 University Drive, Burr Ridge , IL, 61257, MasterCard, 3034.98
female, Rita, Mason, 4/25/1967, 1821 Boone Crockett Lane, Lacey , WA, 98503, Visa, 14189.58
female, Alice, Nevers, 10/4/1961, 290 Kildeer Drive, Norfolk , VA, 23510, Discover, 7445.21
female, Gina, Croft, 8/5/1964, 1810 Formula Lane, Dallas , TX, 75207, MasterCard, 4383.05
male, Matthew, Carlos, 5/19/1941, 4428 Spring Avenue, Warminster , PA, 18974, Visa, 0.00
male, James, Soto, 4/15/1961, 1836 Arlington Avenue, Little Rock , AR, 72212, MasterCard, 6343.19
male, Isaac, Nakamura, 6/12/1977, 1967 Hill Croft Farm Road, Oroville , CA, 95966, Visa, 6382.92
male, David, Wenz, 5/16/1969, 2761 Radio Park Drive, Blairsville , GA, 30512, Visa, 13130.65
male, John, Stevens, 4/30/1970, 2248 Brown Avenue, Piedmont , SC, 29673, MasterCard, 0.00
male, Duane, Lemon, 7/3/1948, 842 Columbia Mine Road, Charleston , WV, 25301, Visa, 8960.55
female, Norma, Valenza, 5/17/1969, 1994 Thrash Trail, Tyler , TX, 75757, Visa, 4998.06
female, Nella, Neal, 7/26/1981, 106 Maryland Avenue, Largo , FL, 34640, Visa, 11269.43
female, Joan, Payne, 7/13/1953, 2869 High Meadow Lane, Scranton , PA, 18503, MasterCard, 7008.80
female, Dianne, Iverson, 3/8/1955, 2601 Coleman Avenue, Ramona , CA, 92065, Discover, 3633.99
female, Gail, Schuetz, 10/25/1973, 3688 Maud Street, Philadelphia , DE, 19103, Visa, 9501.27
male, Herman, Vera, 5/26/1968, 271 McDonald Avenue, Orlando , FL, 32801, Visa, 12442.13
male, Ralph, Morgan, 5/23/1957, 2648 Glendale Avenue, Woodland Hills , CA, 91303, MasterCard, 0.00
female, Ammie, Thompson, 10/1/1985, 2620 Charmaine Lane, Odonnell , TX, 79351, Visa, 0.00
male, David, Pedersen, 7/6/1945, 71 Keyser Ridge Road, Elkin , NC, 28621, Visa, 10714.16
female, Fern, Hernandez, 4/13/1985, 3027 Chardonnay Drive, Gainesville , FL, 32601, Visa, 0.00
male, Brad, Spear, 5/19/1941, 648 Giraffe Hill Drive, Dallas , TX, 75207, Discover, 2452.65
male, David, Bruno, 2/1/1967, 1627 Ferry Street, Anniston , AL, 36201, MasterCard, 0.00
male, Stephen, Kinard, 4/17/1974, 3378 Stroop Hill Road, Atlanta , GA, 30303, MasterCard, 0.00
male, Pedro, Roberts, 7/28/1944, 3964 Heliport Loop, Columbus , IN, 47201, MasterCard, 4075.94
female, Jodi, Cheatham, 2/9/1956, 4088 Bel Meadow Drive, Redlands , CA, 92373, MasterCard, 0.00
female, Sara, West, 4/7/1965, 3821 Ridenour Street, Sunrise , FL, 33323, Visa, 19331.77
female, Deborah, Irvin, 3/10/1962, 2143 Snowbird Lane, Omaha , NE, 68124, Visa, 2690.65
female, Anita, Mabry, 12/30/1957, 4427 James Street, Attica , NY, 14011, MasterCard, 7711.11
male, James, Williams, 5/8/1975, 1451 Woodside Circle, Panama City , FL, 32401, Visa, 9161.81
female, Irma, Howard, 2/5/1955, 3476 Jessie Street, Bellaire , OH, 43906, MasterCard, 7244.26
male, Lamar, Currin, 1/9/1978, 4047 Coulter Lane, Richmond , VA, 23226, MasterCard, 5849.98
female, Stephanie, Ashworth, 3/7/1981, 2192 Confederate Drive, Utica , NY, 13502, Visa, 18224.90
female, Rebekah, Benner, 8/30/1979, 3051 Waldeck Street, Grapevine , TX, 76051, MasterCard, 0.00
female, Stephanie, Crafton, 7/24/1966, 4401 Clarksburg Park Road, St Michaels , AZ, 86511, MasterCard, 1502.36
male, John, Dendy, 12/7/1959, 2708 Geneva Street, New York , NY, 10016, MasterCard, 5036.33
male, Albert, Ortiz, 1/29/1972, 2927 Rocky Road, Philadelphia , PA, 19103, Discover, 3113.40
female, Betty, Shoemaker, 4/20/1942, 3275 Joes Road, Philmont , NY, 12565, Visa, 0.00
male, Minh, Frasier, 10/27/1979, 1848 Hilltop Haven Drive, Newark , NJ, 07102, Discover, 2836.29
male, Jack, Bogle, 10/10/1983, 4358 Broadcast Drive, Arlington , VA, 22201, MasterCard, 9869.59
female, Teresa, Huntsberry, 6/19/1982, 1231 Coffman Alley, Park City , KY, 42160, MasterCard, 2592.40
female, Charlotte, Haley, 9/26/1952, 4958 Haul Road, San Jose , CA, 95134, Discover, 7660.50
male, Cecil, Miller, 3/20/1977, 4203 Blue Spruce Lane, Solomons , MD, 20688, Discover, 0.00
female, Renee, Whitten, 4/22/1962, 3858 Frank Avenue, Pittsfield , MA, 01201, Visa, 0.00
male, Sam, Tate, 5/26/1981, 4955 Musgrave Street, Atlanta , GA, 30303, MasterCard, 7315.61
female, Tara, Orth, 2/25/1965, 4768 Kidd Avenue, Stebbins , AK, 99671, Discover, 0.00
male, Benjamin, Enriquez, 8/13/1957, 3280 Pinnickinick Street, Bremerton , WA, 98337, Visa, 11278.12
female, Nicole, Mcintyre, 10/24/1983, 1972 Stanley Avenue, Hempstead , NY, 11550, Discover, 1393.73
